Team,player_name,Player Type,batting_t20_m,batting_t20_inn,batting_t20_runs,batting_t20_bf,batting_t20_hs,batting_t20_avg,batting_t20_sr,batting_t20_no,batting_t20_4s,batting_t20_6s,batting_t20_50,batting_t20_100,batting_t20_200,bowling_t20_m,bowling_t20_inn,bowling_t20_b,bowling_t20_runs,bowling_t20_wkts,bowling_t20_avg,bowling_t20_econ,bowling_t20_sr,bowling_t20_bbi,bowling_t20_bbm,bowling_t20_5w,bowling_t20_10w,batting_ipl_m,batting_ipl_inn,batting_ipl_runs,batting_ipl_bf,batting_ipl_hs,batting_ipl_avg,batting_ipl_sr,batting_ipl_no,batting_ipl_4s,batting_ipl_6s,batting_ipl_50,batting_ipl_100,batting_ipl_200,bowling_ipl_m,bowling_ipl_inn,bowling_ipl_b,bowling_ipl_runs,bowling_ipl_wkts,bowling_ipl_avg,bowling_ipl_econ,bowling_ipl_sr,bowling_ipl_bbi,bowling_ipl_bbm,bowling_ipl_5w,bowling_ipl_10w,boundary_ratio,batting_consistency,economy_impact,strike_power,is_allrounder
CHE,Vansh Bedi,WK,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-/-,-/-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-/-,-/-,0.0,0.0,0.0,0.0,0.0,0.0,0
CHE,Andre Siddharth,BAT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-/-,-/-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-/-,-/-,0.0,0.0,0.0,0.0,0.0,0.0,0
CHE,Ramakrishna Ghosh,ALL,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-/-,-/-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-/-,-/-,0.0,0.0,0.0,0.0,0.0,0.0,0
CHE,Shaik Rasheed,BAT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-/-,-/-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-/-,-/-,0.0,0.0,0.0,0.0,0.0,0.0,0
CHE,Gurjapneet Singh,BOWL,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-/-,-/-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-/-,-/-,0.0,0.0,0.0,0.0,0.0,0.0,0
CHE,Matheesha Pathirana,BOWL,19,9.0,17.0,32.0,6.0,3.4,53.13,4.0,1.0,0.0,0.0,0.0,0.0,19.0,18.0,344.0,488.0,30.0,16.27,8.51,11.47,4/24,4/24,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,547.0,739.0,39.0,18.95,8.11,14.03,4/28,4/28,0.0,0.0,0.0,0.0,4.808877928483354,2.7797576621525306,0
CHE,Noor Ahmad,BOWL,14,8.0,41.0,53.0,12.0,6.83,77.36,2.0,1.0,3.0,0.0,0.0,0.0,14.0,13.0,228.0,264.0,7.0,37.71,6.95,32.57,4/10,4/10,0.0,0.0,28.0,8.0,13.0,20.0,7.0,3.25,65.0,4.0,2.0,0.0,0.0,0.0,0.0,28.0,28.0,600.0,809.0,35.0,23.11,8.09,17.14,4/18,4/18,0.0,0.0,0.1,0.05,4.326328800988875,2.042007001166861,0
CHE,Anshul Kamboj,BOWL,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-/-,-/-,0.0,0.0,3.0,1.0,2.0,2.0,2.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,60.0,114.0,2.0,57.0,11.4,30.0,1/24,1/24,0.0,0.0,0.0,0.0,0.17543859649122806,0.06666666666666667,0
CHE,Nathan Ellis,BOWL,20,6.0,18.0,38.0,11.0,6.0,47.37,3.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,424.0,541.0,32.0,16.91,7.66,13.25,4/28,4/28,0.0,0.0,17.0,5.0,19.0,25.0,12.0,4.75,76.0,1.0,0.0,1.0,0.0,0.0,0.0,17.0,17.0,378.0,546.0,19.0,28.74,8.67,19.89,4/30,4/30,0.0,0.0,0.04,0.0625,2.1914648212226067,0.955253896430367,0
CHE,Mukesh Choudhary,BOWL,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-/-,-/-,0.0,0.0,16.0,2.0,6.0,6.0,4.0,6.0,100.0,1.0,1.0,0.0,0.0,0.0,0.0,16.0,16.0,315.0,522.0,17.0,30.71,9.94,18.53,4/46,4/46,0.0,0.0,0.16666666666666666,0.06,1.710261569416499,0.9174311926605504,0
